rssi,lqi
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-66,108
-65,112
-66,108
-66,108
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-70,92
-71,88
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-67,104
-68,100
-69,96
-69,96
-67,104
-68,100
-68,100
-69,96
-69,96
-68,100
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-66,108
-66,108
-66,108
-67,104
-69,96
-66,108
-68,100
-64,116
-64,116
-67,104
-66,108
-65,112
-66,108
-68,100
-68,100
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-69,96
-68,100
-69,96
-69,96
-68,100
-68,100
-67,104
-67,104
-66,108
-66,108
-67,104
-67,104
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-69,96
-74,76
-71,88
-69,96
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-73,80
-73,80
-72,84
-76,68
-76,68
-72,84
-68,100
-71,88
-72,84
-70,92
-70,92
-71,88
-70,92
-69,96
-68,100
-67,104
-68,100
-72,84
-71,88
-72,84
-71,88
-70,92
-68,100
-66,108
-67,104
-68,100
-68,100
-67,104
-69,96
-70,92
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-68,100
-68,100
-69,96
-70,92
-70,92
-70,92
-69,96
-70,92
-68,100
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-71,88
-71,88
-70,92
-69,96
-69,96
-68,100
-67,104
-67,104
-67,104
-67,104
-66,108
-67,104
-68,100
-70,92
-69,96
-70,92
-70,92
-70,92
-70,92
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-69,96
-70,92
-70,92
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-69,96
-69,96
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-69,96
-70,92
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-70,92
-69,96
-68,100
-69,96
-68,100
-68,100
-67,104
-67,104
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-68,100
-67,104
-67,104
-67,104
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-67,104
-68,100
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-70,92
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-68,100
-69,96
-68,100
-69,96
-70,92
-69,96
-71,88
-71,88
-70,92
-69,96
-68,100
-69,96
-70,92
-71,88
-72,84
-71,88
-72,84
-74,76
-74,76
-75,72
-75,72
-74,76
-74,76
-73,80
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-71,88
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-74,76
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-70,92
-70,92
-70,92
-70,92
-71,88
-72,84
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-69,96
-70,92
-68,100
-68,100
-68,100
-69,96
-67,104
-69,96
-68,100
-68,100
-67,104
-68,100
-67,104
-69,96
-70,92
-76,68
-72,84
-73,80
-69,96
-68,100
-68,100
-69,96
-70,92
-70,92
-69,96
-69,96
-69,96
-70,92
-70,92
-70,92
-70,92
-69,96
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-68,100
-70,92
-71,88
-69,96
-69,96
-70,92
-68,100
-67,104
-67,104
-67,104
-66,108
-67,104
-66,108
-66,108
-67,104
-67,104
-67,104
-68,100
-67,104
-67,104
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-70,92
-68,100
-67,104
-67,104
-67,104
-67,104
-66,108
-67,104
-66,108
-67,104
-67,104
-68,100
-69,96
-69,96
-70,92
-70,92
-70,92
-69,96
-68,100
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-69,96
-68,100
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-71,88
-70,92
-71,88
-70,92
-69,96
-70,92
-69,96
-68,100
-71,88
-70,92
-70,92
-70,92
-70,92
-69,96
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-69,96
-70,92
-70,92
-71,88
-70,92
-70,92
-72,84
-73,80
-72,84
-72,84
-71,88
-70,92
-70,92
-70,92
-67,104
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-70,92
-70,92
-69,96
-68,100
-69,96
-69,96
-69,96
-68,100
-67,104
-67,104
-67,104
-69,96
-71,88
-69,96
-68,100
-70,92
-70,92
-69,96
-70,92
-68,100
-68,100
-68,100
-69,96
-68,100
-70,92
-70,92
-68,100
-68,100
-69,96
-67,104
-67,104
-69,96
-71,88
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-69,96
-70,92
-69,96
-68,100
-68,100
-67,104
-68,100
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-70,92
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-70,92
-69,96
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-71,88
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-67,104
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-69,96
-70,92
-69,96
-69,96
-68,100
-70,92
-70,92
-70,92
-70,92
-69,96
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-67,104
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-67,104
-68,100
-69,96
-68,100
-66,108
-70,92
-69,96
-68,100
-68,100
-70,92
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-66,108
-68,100
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-69,96
-68,100
-68,100
-67,104
-67,104
-68,100
-67,104
-68,100
-67,104
-67,104
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-67,104
-67,104
-66,108
-67,104
-68,100
-66,108
-68,100
-67,104
-66,108
-68,100
-67,104
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-67,104
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-67,104
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-68,100
-69,96
-68,100
-68,100
-69,96
-68,100
-68,100
-69,96
-69,96
-71,88
-72,84
-72,84
-77,64
-79,56
-79,56
-80,52
-72,84
-73,80
-76,68
-78,60
-77,64
-77,64
-77,64
-85,32
-79,56
-74,76
-74,76
-72,84
-69,96
-74,76
-72,84
-71,88
-70,92
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-70,92
-71,88
-70,92
-70,92
-71,88
-70,92
-69,96
-70,92
-70,92
-71,88
-72,84
-72,84
-71,88
-73,80
-77,64
-73,80
-73,80
-71,88
-76,68
-71,88
-71,88
-71,88
-71,88
-68,100
-69,96
-70,92
-68,100
-70,92
-69,96
-68,100
-70,92
-70,92
-69,96
-69,96
-68,100
-68,100
-68,100
-67,104
-67,104
-68,100
-69,96
-67,104
-68,100
-70,92
-69,96
-69,96
-70,92
-69,96
-72,84
-71,88
-69,96
-67,104
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-67,104
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-67,104
-68,100
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-68,100
-67,104
-68,100
-67,104
-68,100
-68,100
-67,104
-68,100
-66,108
-67,104
-68,100
-67,104
-68,100
-72,84
-72,84
-71,88
-70,92
-71,88
-71,88
-71,88
-69,96
-73,80
-74,76
-72,84
-75,72
-70,92
-72,84
-69,96
-73,80
-74,76
-73,80
-68,100
-69,96
-71,88
-72,84
-72,84
-71,88
-72,84
-70,92
-70,92
-69,96
-70,92
-70,92
-71,88
-69,96
-68,100
-68,100
-68,100
-70,92
-68,100
-67,104
-68,100
-68,100
-70,92
-69,96
-68,100
-70,92
-69,96
-70,92
-69,96
-69,96
-69,96
-68,100
-70,92
-69,96
-68,100
-68,100
-69,96
-69,96
-70,92
-67,104
-68,100
-69,96
-70,92
-69,96
-68,100
-67,104
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-68,100
-67,104
-69,96
-69,96
-70,92
-68,100
-67,104
-69,96
-70,92
-69,96
-67,104
-69,96
-71,88
-68,100
-66,108
-70,92
-70,92
-74,76
-73,80
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-71,88
-72,84
-73,80
-72,84
-72,84
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-72,84
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-71,88
-72,84
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-71,88
-70,92
-71,88
-71,88
-71,88
-70,92
-69,96
-71,88
-71,88
-72,84
-69,96
-70,92
-71,88
-73,80
-75,72
-76,68
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-74,76
-73,80
-75,72
-74,76
-73,80
-72,84
-72,84
-73,80
-72,84
-74,76
-74,76
-74,76
-73,80
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-70,92
-71,88
-72,84
-70,92
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-73,80
-74,76
-75,72
-75,72
-73,80
-72,84
-71,88
-71,88
-73,80
-73,80
-73,80
-71,88
-71,88
-72,84
-70,92
-70,92
-70,92
-71,88
-69,96
-70,92
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-72,84
-73,80
-75,72
-74,76
-74,76
-74,76
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-71,88
-72,84
-72,84
-71,88
-72,84
-71,88
-71,88
-72,84
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-70,92
-69,96
-69,96
-69,96
-70,92
-71,88
-74,76
-73,80
-72,84
-70,92
-72,84
-73,80
-73,80
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-69,96
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-70,92
-69,96
-71,88
-70,92
-69,96
-69,96
-70,92
-69,96
-70,92
-69,96
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-70,92
-72,84
-72,84
-72,84
-71,88
-71,88
-70,92
-71,88
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-71,88
-72,84
-73,80
-73,80
-72,84
-74,76
-73,80
-70,92
-71,88
-72,84
-73,80
-73,80
-75,72
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-71,88
-72,84
-73,80
-72,84
-72,84
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-73,80
-75,72
-75,72
-73,80
-73,80
-71,88
-70,92
-71,88
-70,92
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-70,92
-70,92
-70,92
-70,92
-70,92
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-70,92
-70,92
-71,88
-71,88
-72,84
-72,84
-71,88
-72,84
-73,80
-73,80
-71,88
-72,84
-71,88
-71,88
-69,96
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-70,92
-71,88
-71,88
-71,88
-70,92
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-71,88
-70,92
-70,92
-71,88
-70,92
-70,92
-70,92
-69,96
-69,96
-68,100
-70,92
-70,92
-70,92
-70,92
-72,84
-73,80
-73,80
-70,92
-71,88
-71,88
-72,84
-71,88
-74,76
-75,72
-73,80
-72,84
-72,84
-73,80
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-70,92
-68,100
-67,104
-68,100
-67,104
-68,100
-69,96
-68,100
-69,96
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-69,96
-70,92
-69,96
-69,96
-69,96
-70,92
-71,88
-69,96
-70,92
-70,92
-71,88
-70,92
-70,92
-69,96
-69,96
-68,100
-67,104
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-70,92
-70,92
-70,92
-68,100
-70,92
-69,96
-68,100
-70,92
-70,92
-71,88
-70,92
-71,88
-71,88
-66,108
-63,120
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-63,120
-64,116
-63,120
-62,124
-61,128
-61,128
-61,128
-62,124
-61,128
-61,128
-60,132
-60,132
-60,132
-62,124
-61,128
-60,132
-66,108
-63,120
-63,120
-66,108
-67,104
-72,84
-73,80
-72,84
-69,96
-71,88
-67,104
-71,88
-67,104
-68,100
-69,96
-71,88
-82,44
-77,64
-74,76
-74,76
-75,72
-73,80
-72,84
-75,72
-78,60
-81,48
-75,72
-75,72
-75,72
-73,80
-72,84
-71,88
-72,84
-72,84
-74,76
-78,60
-76,68
-76,68
-74,76
-73,80
-72,84
-73,80
-77,64
-80,52
-85,32
-88,20
-87,24
-80,52
-75,72
-73,80
-74,76
